Date;Median daily temp
2019-05-14;9.1
2019-05-15;10.9
2019-05-16;12.7
2019-05-17;13.4
2019-05-18;16.1
2019-05-19;15.4
2019-05-20;18.4
2019-05-21;18.7
2019-05-22;18.4
2019-05-23;15.1
2019-05-24;12.6
2019-05-25;12.3
2019-05-26;10.8
2019-05-27;9.5
2019-05-28;12.9
2019-05-29;11.4
2019-05-30;11.4
2019-05-31;13.1
2019-06-01;11.5
2019-06-02;15.2
2019-06-03;16.1
2019-06-04;16.3
2019-06-05;19.9
2019-06-06;23.2
2019-06-07;21.3
2019-06-08;19.4
2019-06-09;16.2
2019-06-10;16.6
2019-06-11;13.6
2019-06-12;11.1
2019-06-13;12.6
2019-06-14;17.0
2019-06-15;19.9
2019-06-16;20.4
2019-06-17;18.5
2019-06-18;17.3
2019-06-19;19.3
2019-06-20;20.0
2019-06-21;17.6
2019-06-22;17.3
2019-06-23;17.3
2019-06-24;17.1
2019-06-25;17.4
2019-06-26;16.5
2019-06-27;16.3
2019-06-28;16.9
2019-06-29;20.7
2019-06-30;21.9
2019-07-01;17.4
2019-07-02;13.3
2019-07-03;13.5
2019-07-04;11.5
2019-07-05;12.2
2019-07-06;14.4
2019-07-07;15.0
2019-07-08;15.3
2019-07-09;13.5
2019-07-10;16.6
2019-07-11;16.5
2019-07-12;13.9
2019-07-13;15.9
2019-07-14;17.1
2019-07-15;14.2
2019-07-16;12.7
2019-07-17;16.2
2019-07-18;18.3
2019-07-19;19.9
2019-07-20;19.6
2019-07-21;17.7
2019-07-22;18.4
2019-07-23;18.7
2019-07-24;21.1
2019-07-25;24.0
2019-07-26;24.0
2019-07-27;23.6
2019-07-28;24.2
2019-07-29;20.1
2019-07-30;14.0
2019-07-31;13.3
2019-08-01;16.4
2019-08-02;17.4
2019-08-03;16.2
2019-08-04;13.8
2019-08-05;17.2
2019-08-06;17.8
2019-08-07;18.6
2019-08-08;18.0
2019-08-09;17.4
2019-08-10;16.2
2019-08-11;18.1
2019-08-12;18.3
2019-08-13;17.2
2019-08-14;15.1
2019-08-15;16.2
2019-08-16;17.5
2019-08-17;16.6
2019-08-18;16.5
2019-08-19;16.8
2019-08-20;16.3
2019-08-21;16.2
2019-08-22;15.5
2019-08-23;16.1
2019-08-24;17.1
2019-08-25;18.8
2019-08-26;19.4
2019-08-27;19.8
2019-08-28;21.2
2019-08-29;20.4
2019-08-30;17.5
2019-08-31;18.6
2019-09-01;20.2
2019-09-02;15.3
2019-09-03;14.1
2019-09-04;13.6
2019-09-05;15.1
2019-09-06;11.9
2019-09-07;13.7
2019-09-08;12.6
2019-09-09;14.3
2019-09-10;17.9
2019-09-11;15.3
2019-09-12;15.9
2019-09-13;14.4
2019-09-14;12.0
2019-09-15;13.9
2019-09-16;10.9
2019-09-17;7.4
2019-09-18;8.0
2019-09-19;7.7
2019-09-20;8.6
2019-09-21;13.0
2019-09-22;9.0
2019-09-23;7.9
2019-09-24;9.6
2019-09-25;8.8
2019-09-26;9.5
2019-09-27;8.4
2019-09-28;12.2
2019-09-29;11.4
2019-09-30;9.0
2019-10-01;7.2
2019-10-02;5.7
2019-10-03;4.8
2019-10-04;3.0
2019-10-05;1.6
2019-10-06;2.5
2019-10-07;2.6
2019-10-08;2.6
2019-10-09;5.3
2019-10-10;8.7
2019-10-11;9.6
2019-10-12;10.3
2019-10-13;7.9
2019-10-14;7.8
2019-10-15;7.3
2019-10-16;8.6
2019-10-17;7.1
2019-10-18;9.4
2019-10-19;10.7
2019-10-20;8.6
2019-10-21;6.5
2019-10-22;8.9
2019-10-23;10.3
2019-10-24;9.8
2019-10-25;11.1
2019-10-26;5.6
2019-10-27;3.2
2019-10-28;0.7
2019-10-29;3.1
2019-10-30;2.4
2019-10-31;3.0
2019-11-01;0.3
2019-11-02;3.4
2019-11-03;1.0
2019-11-04;0.1
2019-11-05;-0.3
2019-11-06;-0.7
2019-11-07;-0.9
2019-11-08;1.1
2019-11-09;1.4
2019-11-10;-1.8
2019-11-11;0.5
2019-11-12;3.5
2019-11-13;2.5
2019-11-14;2.8
2019-11-15;2.5
2019-11-16;4.8
2019-11-17;6.7
2019-11-18;6.3
2019-11-19;7.1
2019-11-20;3.7
2019-11-21;6.2
2019-11-22;5.0
2019-11-23;4.3
2019-11-24;2.9
2019-11-25;2.7
2019-11-26;3.6
2019-11-27;3.2
2019-11-28;2.7
2019-11-29;-1.5
2019-11-30;-2.9
2019-12-01;-4.1
2019-12-02;-5.8
2019-12-03;-2.2
2019-12-04;3.0
2019-12-05;6.5
2019-12-06;4.4
2019-12-07;3.9
2019-12-08;3.2
2019-12-09;3.2
2019-12-10;-4.6
2019-12-11;2.4
2019-12-12;2.5
2019-12-13;2.4
2019-12-14;3.4
2019-12-15;3.3
2019-12-16;2.5
2019-12-17;3.0
2019-12-18;0.5
2019-12-19;-1.5
2019-12-20;3.9
2019-12-21;5.1
2019-12-22;3.6
2019-12-23;1.1
2019-12-24;1.9
2019-12-25;2.2
2019-12-26;-0.2
2019-12-27;-2.1
2019-12-28;-3.4
2019-12-29;3.4
2019-12-30;7.6
2019-12-31;3.8
2020-01-01;3.5
2020-01-02;6.1
2020-01-03;4.9
2020-01-04;1.8
2020-01-05;-0.4
2020-01-06;4.7
2020-01-07;5.3
2020-01-08;6.6
2020-01-09;1.9
2020-01-10;-1.7
2020-01-11;1.6
2020-01-12;5.2
2020-01-13;2.1
2020-01-14;3.5
2020-01-15;7.4
2020-01-16;6.3
2020-01-17;3.5
2020-01-18;4.1
2020-01-19;1.3
2020-01-20;3.0
2020-01-21;6.2
2020-01-22;2.5
2020-01-23;1.0
2020-01-24;4.3
2020-01-25;0.9
2020-01-26;5.4
2020-01-27;4.5
2020-01-28;3.1
2020-01-29;2.9
2020-01-30;2.2
2020-01-31;2.0
2020-02-01;5.8
2020-02-02;3.2
2020-02-03;-1.1
2020-02-04;-2.2
2020-02-05;0.0
2020-02-06;1.0
2020-02-07;-0.2
2020-02-08;2.7
2020-02-09;4.4
2020-02-10;5.9
2020-02-11;3.6
2020-02-12;3.4
2020-02-13;-0.4
2020-02-14;-1.5
2020-02-15;3.2
2020-02-16;7.8
2020-02-17;6.2
2020-02-18;6.0
2020-02-19;3.0
2020-02-20;1.0
2020-02-21;5.7
2020-02-22;6.4
2020-02-23;4.6
2020-02-24;0.9
2020-02-25;-0.2
2020-02-26;-0.8
2020-02-27;-2.1
2020-02-28;-2.4
2020-02-29;1.2
2020-03-01;2.8
2020-03-02;4.3
